"","H3K9acK14ac","H3K9ac","H4K5acK16ac","H4K8acK16ac","H4K12acK16ac","H2A1AK5ac","H4K5acK8acK12acK16ac","H4K8acK12acK16ac","H4K5acK8acK16ac","H4K5acK12acK16ac","H3K4me","H1.2K33ac","H3K36me2","H3K14ac","H4K5acK12ac","H3K23ac","H4K5acK8ac","H4K8acK12ac","H3K9me2K14ac","H3K23su","H3K9meK14ac","H4K8ac","H4K5ac","H4K12ac","H2A1BK15ac","H3K18ac","H3K18acK23ac","H3K79me","H3K9me","H4K5acK8acK12ac","H2AJK5acK9ac","H2AJK5acT6ac","H3K27meK36me2","H3K27me2K36me","H3K9me2","H3K9me3K14ac","H3K9me3","H4K16ac","H1K25me","H1.5K33ac"
"H3K9acK14ac",0,1.47222670041141e-17,5.17689697006706e-13,3.45006927385656e-09,1.85514149739999e-09,0.00207170573856549,3.27466553796931e-07,8.91818014270344e-07,2.43793317760269e-06,2.11529968464093e-08,0.00322516147576343,0.00514796814169599,0.00394089290609417,0.0175462118529343,0.000413539617161604,0.00022654590049526,0.0118222560745926,4.22699989194487e-06,0.0780332628995502,0.0010181979131584,0.0847104809920714,1.11020996006338e-07,0.00449135477915112,0.0180805800125478,0.642848683796954,0.918369319544091,0.063712854666555,0.749855401689514,0.030503889416509,0.00362000315228584,0.0344416247553156,0.00671706103281751,0.0578626661768456,0.0155862850436083,2.10336047537428e-07,9.86896941381933e-13,8.0197867106888e-05,0.915530409390575,0.189221813918396,0.4095703010788
"H3K9ac",1.47222670041141e-17,0,1.78144292151234e-10,1.73047059453946e-07,3.52338677052133e-10,0.00865791319636504,4.53543773736538e-06,6.27866385985183e-06,4.64798779859246e-07,9.68114358641451e-08,0.000314402742462245,0.0048890002252088,0.00102899129514539,0.0103383127808356,0.0577551491143993,0.00437075567727589,0.0003329297851665,0.000156895077494711,0.00431890826259775,0.00185746128903745,0.00267621197583757,1.19725574959365e-05,0.0204082238235495,0.252670325920939,0.363113363323044,0.183630401569398,0.0526294082524525,0.974475776052691,0.811814879271471,0.253645425087485,0.538431108679288,0.0363834367854856,0.0254820537747928,0.00709279875575783,1.75924085857628e-06,3.78183280356503e-10,0.000517027896532408,0.646174673568155,0.150228017069686,0.313645160865202
"H4K5acK16ac",5.17689697006706e-13,1.78144292151234e-10,0,2.9187352974908e-22,5.72087494417562e-21,2.55834100103512e-14,1.31308094588781e-18,2.42866780659916e-18,1.03448475272498e-22,2.5409116457275e-26,2.66175286760439e-08,4.80433719460674e-05,0.000198350690803509,0.00104513971888019,0.000317997623634502,0.00487352439101645,0.0057017825811829,0.00602493671957223,0.000339315638807537,3.17468585779017e-05,0.0142166958859911,0.000486418032259669,0.0547283479660897,0.314918656950967,0.906382391041658,0.425427486663432,0.00729093622107141,0.617989923972139,0.214030589679229,0.00812660566696452,0.325804501013743,0.000293947109752765,0.0140123938594774,0.0011792125406995,2.32110201575862e-07,4.57646405581044e-13,2.01195332800488e-05,0.5196606999415,0.0134579206348662,0.593307989882652
"H4K8acK16ac",3.45006927385656e-09,1.73047059453946e-07,2.9187352974908e-22,0,1.85457731230689e-23,2.29847057341633e-14,6.61463315753842e-15,1.96505261141894e-20,3.17295300567251e-21,2.36998330716743e-24,6.17303099465229e-09,0.000341270105847849,0.000294510826530133,0.0045892918057555,0.000333689420329788,0.0539472522858216,0.0249122815738753,0.0621549978059866,0.00117387354977395,0.00105404997605203,0.100506567954835,0.00238960584325784,0.135085241817055,0.207956797636511,0.710100176076389,0.140789679776406,0.0193883720850625,0.283457487824876,0.516663364756066,0.0280226514088444,0.593373436098759,0.000448223607488898,0.0242180280370489,0.00168660132380725,1.39967443556281e-05,4.98930148715002e-10,0.00797381555942315,0.239133145868646,0.0739873827433295,0.90427653391848
"H4K12acK16ac",1.85514149739999e-09,3.52338677052133e-10,5.72087494417562e-21,1.85457731230689e-23,0,3.33418567192679e-10,3.66480418925927e-15,2.49306946648937e-18,1.33773089597682e-19,1.36852830091517e-20,4.79903264286179e-09,5.70306350520556e-05,3.37309740236953e-06,0.00451614111585111,0.000325566790333534,0.00625336027737715,0.00117628412810867,0.00954544930095818,8.52117897593197e-05,6.51320608862435e-06,0.00830722426475697,0.00124495896181359,0.492465111890593,0.123459011169462,0.386726993223977,0.608877159213957,0.121241600064658,0.371483413839579,0.635637391683111,0.114434951461089,0.78745327575123,0.000172440418082618,0.000541655498791551,0.000627206266821361,3.98538092807592e-07,3.2075733237577e-12,0.022865814373113,0.112708881203031,0.177536033690599,0.964327179099639
"H2A1AK5ac",0.00207170573856549,0.00865791319636504,2.55834100103512e-14,2.29847057341633e-14,3.33418567192679e-10,0,1.02385219113475e-19,3.9373889884213e-20,6.02107600762958e-21,1.50384049634248e-19,3.04710311117664e-10,5.88912310306584e-06,0.000132978982615481,0.0018840903865846,0.00647849290689426,0.149166311035253,0.0217073553838137,0.599890707675942,0.000124618761811258,6.66954918632126e-05,0.188491904013291,0.520377890917134,0.982839208113978,0.000138541126749997,0.88128517679683,0.170020400122329,0.115361285132382,0.853186793492771,0.40517037059487,0.0200525262214404,0.29959374189488,6.72101524951397e-06,0.0769982887973935,9.17801115820484e-06,1.6082045342848e-05,1.58443688516553e-07,0.0195899851759195,0.398261969884386,0.000598952198867098,0.540818526799526
"H4K5acK8acK12acK16ac",3.27466553796931e-07,4.53543773736538e-06,1.31308094588781e-18,6.61463315753842e-15,3.66480418925927e-15,1.02385219113475e-19,0,1.73973170440213e-26,4.07050240190609e-25,6.29302467435735e-23,1.44511622157179e-07,5.99316938811472e-05,9.54508292807564e-05,0.00215350869849489,0.0204201015171711,0.0419124710526491,0.00357644176529348,0.0756314571976581,0.000459296982396481,3.78471912056288e-07,0.00778301902786059,0.384414789992318,0.934512067768711,0.00470815800536938,0.809178560674596,0.705236335006499,0.0638353076889145,0.574544976745993,0.161692711506887,0.00468791466990305,0.164343246835801,1.24088718341664e-05,0.0546431265001622,1.30884767347115e-05,4.15911360145546e-07,1.0263541048803e-11,0.000929313846969239,0.413018971580603,0.00638546969997792,0.0986353911828649
"H4K8acK12acK16ac",8.91818014270344e-07,6.27866385985183e-06,2.42866780659916e-18,1.96505261141894e-20,2.49306946648937e-18,3.9373889884213e-20,1.73973170440213e-26,0,2.52809529772669e-27,2.3603104061602e-28,1.69898947236653e-12,1.22197181420187e-07,2.03624241629619e-07,0.0053058826683993,0.000489249874354861,0.0842289034964985,0.0020255720434314,0.0767778009734784,0.000206604295743359,2.57460153671673e-07,0.0339152776516164,0.189023101116822,0.573179969037163,0.000568103079095177,0.512332268139513,0.294239221989755,0.147337824185053,0.747049072828289,0.721029498475988,0.0203458487341356,0.435894699700471,7.89081561838719e-06,0.00366312342821523,3.86423369865785e-07,1.05152457198864e-07,6.32883025046267e-11,0.0529851026549244,0.373779934241776,0.00934411401601324,0.233028057953214
"H4K5acK8acK16ac",2.43793317760269e-06,4.64798779859246e-07,1.03448475272498e-22,3.17295300567251e-21,1.33773089597682e-19,6.02107600762958e-21,4.07050240190609e-25,2.52809529772669e-27,0,4.51935755368602e-33,1.50063365634242e-10,1.35747600788474e-05,3.78075275986509e-05,0.000471411462050271,0.00989471520716599,0.0283313003417865,0.000100341524586298,0.0146253400521949,1.62532510752286e-05,4.62642200090376e-06,0.0126133349875151,0.0997078677789962,0.769189997119749,0.00277362706491222,0.938874721961705,0.464724464550035,0.0625452965564141,0.78076883059469,0.935567547953681,0.0264798870172139,0.914862004149079,2.26212814489562e-05,0.0171329724773434,5.94439781127211e-05,6.92037970294402e-07,1.40141224296103e-09,0.00643572990208966,0.479523014034558,0.00377638034146321,0.447215885805849
"H4K5acK12acK16ac",2.11529968464093e-08,9.68114358641451e-08,2.5409116457275e-26,2.36998330716743e-24,1.36852830091517e-20,1.50384049634248e-19,6.29302467435735e-23,2.3603104061602e-28,4.51935755368602e-33,0,5.58195115525608e-13,8.45768815713777e-07,5.71625447020501e-06,0.000212047645671455,0.00141704953552474,0.0540280292395226,0.000936534795556975,0.0093904406088217,6.74019959466122e-05,4.1609430718236e-05,0.0254182616156337,0.0402406891325726,0.603474874227639,0.0156733973794166,0.583529180400314,0.543580066072286,0.0179883378783015,0.603115231099182,0.893887594598644,0.0185723690560749,0.992351992863582,0.000414508504308911,0.00697771604905766,2.56635017437854e-05,8.71647217342444e-09,1.07637420164385e-12,0.00137573521093144,0.892688555398647,0.00784292721695802,0.401307809909539
