"","1_D3_Slot1-1_1_1321","1_D4_Slot1-1_1_1300","1_E3_Slot1-1_1_1322","1_E4_Slot1-1_1_1301","1_F3_Slot1-1_1_1323","1_F4_Slot1-1_1_1302","1_G3_Slot1-1_1_1325","1_G4_Slot1-1_1_1305","1_H2_Slot1-1_1_1341","1_H3_Slot1-1_1_1326","1_H4_Slot1-1_1_1306","1_I2_Slot1-1_1_1342","1_I3_Slot1-1_1_1327","1_I4_Slot1-1_1_1307","100_C2_Slot1-1_1_1339","100_C3_Slot1-1_1_1319","100_C4_Slot1-1_1_1298","auto_2_C3_100cell_Slot1-1_1_3400","auto_2_E2_1cell_Slot1-1_1_3420","auto_2_E3_1cell_Slot1-1_1_3418","auto_2_F2_1cell_Slot1-1_1_3421","auto_2_F3_1cell_Slot1-1_1_3419","auto_4_C4_100cell_Slot1-1_1_3505","auto_4_D3_1cell_Slot1-1_1_3495","auto_4_D4_1cell_Slot1-1_1_3492","auto_4_E4_1cell_Slot1-1_1_3493","auto_4_F4_1cell_Slot1-1_1_3494"
"H1-K25[un];K31[un]",2.32333409045305,1.74456454600849,1.92096171519839,1.70139309202574,2.14721306139835,1.73183644832074,1.69620119242376,1.86410361182366,1.51686785240129,2.01417301659068,2.12476532248166,1.9229677023345,1.99658029640592,1.43100317590848,1.20593441566344,1.98963764961744,1.53264770608947,2.73248951181933,1.35344585649793,1.52230319257768,1.63276735457693,1.83669552427667,1.99562283541362,1.70385043305995,1.72031840910959,1.86359130754155,1.79431845462384
"H1.2-K33[un];K45[un];K51[un]",1.30652633566366,4.60805700411977,1.35829939709344,3.04571091486419,0.973996884944203,1.71782709015139,0.552969291399715,1.56454754924224,1.13794064546251,0.933620045606789,1.54270007975406,0.628301166564852,1.17325560171987,0.992899331126877,1.83267778950008,-3.70183026574752,1.51121130427369,-0.18948643943685,1.00196534309106,1.72212260418172,1.79517720860872,1.89925368524353,1.34105904780221,1.03917276037008,1.50305485718395,1.28785311208633,1.05789262424562
"H1.5-K33[ac];K45[un];K51[un]",-0.0319428204981628,0.844010080487878,0.516410334311539,0.201391973156662,0.780077799479306,0.173383983024744,0.580369576123818,0.119493342902324,1.13224701977931,1.10054422455226,0.822868465694682,1.72702616447865,0.989595685428714,-0.74402061674534,-2.97935017201326,-3.26185725880046,-1.26202980592246,-10.9185197247574,2.15366720860709,2.92080669160802,2.96947914721853,3.08286608186499,-0.056711260370113,-0.0685302429267072,0.307143337373198,0.163877465908119,-0.137479895443256
"H1.5-K33[un];K45[un];K51[un]",-1.58652442841128,1.58159739356882,-1.60130639206778,0.0193852232321283,-1.80799410168244,-1.25974658912421,-1.96383645989163,-1.44869190687759,-1.38319960565317,-1.65265239064028,-1.34004699384351,-2.00334094450731,-1.70216321725619,-1.99375553719758,-1.07997801539158,-2.23838591675001,-1.40403201218348,-16.0896709312158,2.17609088645344,2.6555431582042,2.09540287064872,2.43773051747503,-1.34998251479954,-1.59730810988652,-1.12849385659934,-1.44656564573836,-1.20255337141067
"H2A1A-K5[ac];K9[un]",1.09279051393132,-0.424438840094411,0.663210952076358,0.135235170098724,0.604078112585011,-0.0252819927867789,-0.0571462844094788,0.0980143846223258,-0.0925822976233824,0.426149155443152,-1.5174615572314,-0.245123892456718,0.53845574588801,0.351370281917324,-0.0675062620216987,0.472766031029618,0.108952485508013,1.06650999816486,-0.375587825542075,-0.134725982117035,0.277843576620768,-0.227721618162995,0.324025672139177,0.282241592309971,0.193108870652213,-0.296328671264529,0.103270685126692
"H2A1A-K5[un];K9[un]",4.59183883872673,3.98163023469131,4.54186874344703,3.93159897155346,4.47269836819885,3.75474946335465,4.10751983631004,3.72839798341164,4.0818265877872,4.31672141132769,4.16113424176505,4.09523482971027,4.24098940685103,3.78785762078845,2.74141268287833,3.70537197644375,3.16068085687352,4.55236698677701,3.62819061766726,3.7779079496447,3.79353494638635,4.07197951544204,4.0603359567394,3.80873597625817,4.04260882372007,3.99921572795218,3.91308353124753
"H2A1A-K74[un];K75[un]",0.249706642573347,0.670344999508447,0.613785287165441,0.219640471922079,0.504913969200876,0.212568297918163,0.374677909161863,0.0826612273017695,0.360141877872523,0.849688221788935,0.901246533838335,0.216693148721478,0.495227143054654,-1.10003870417463,-0.801162322705573,-0.979440270074957,-1.16758366837407,-0.146893105226885,0.407690468752007,-0.178245146309087,0.484370795306373,-0.06601984643456,-0.37257087612973,0.398612487933115,0.140504764015036,0.192870612795556,0.141486177473869
"H2A1B-K13[un];K15[ac]",3.10285091960427,2.80870097539463,2.96524161559793,2.56286838471566,3.23009942274808,2.47551814331186,2.67616029033075,2.69553928918711,2.80985199579554,3.08718808574356,2.87323008042327,3.3033431645109,2.79656115455997,2.40772302562461,1.58728752505076,2.54069849444571,2.02116145053964,3.45181816763357,2.34747741646391,2.5207914970059,2.52144982158913,2.67141133777346,3.01594756304364,2.49947315843755,2.80794593114206,2.64744181546829,2.54213977237441
"H2A1B-K13[un];K15[un]",3.55965397594234,2.10847879243216,3.46648509160073,2.81166883767663,3.17507920683878,2.65995910672552,2.96820764022468,2.4287607981738,2.95625467518073,3.20974106120196,3.04073506777453,3.19565133794853,3.50528215540167,2.8456620206595,1.71285981812921,2.5654284877114,1.94187785100217,4.31917104751194,1.98820527154668,3.20375983854423,2.18560241938881,2.46555140083903,2.47981533487732,2.88624580277643,2.90564068064167,2.91762249678557,2.9729656627497
"H2AJ-K5[ac];K9[ac]",-1.81815385174833,-1.37332188409316,-1.89196018581449,-1.9210549942158,-1.78323327125241,-1.98128299295789,-2.23523807565892,-2.48375473957409,-2.08016517955861,-2.27073658537065,-1.8099937322513,-1.33861176029624,-1.48822252875676,-2.84089170007689,-3.59046004254018,-2.7593372650327,-3.03245018998477,-1.35141230871877,-2.74809863640552,-2.22773120341437,-2.53559355020377,-1.93094929513497,-1.77324896599698,-2.60429480788715,-2.20467751425554,-2.2831922364025,-1.92837146933524
