"","H1-K25[me];K31[un]","H1-K25[un];K31[un]","H1.5-K33[ac];K45[un];K51[un]","H1.5-K33[un];K45[un];K51[un]","H2A1A-K5[ac];K9[un]","H2A1A-K5[un];K9[un]","H2A1B-K13[un];K15[ac]","H2A1B-K13[un];K15[un]","H2AJ-K5[ac];K9[ac]","H2AJ-K5[ac];K9[hib]","H2AJ-K5[ac];T6[ac];K9[un]","H2AJ-K5[un];K9[un]","H2AX-K5[un];K9[un]","H31-K18[ac];K23[ac]","H31-K18[ac];K23[un]","H31-K18[un];K23[ac]","H31-K18[un];K23[su]","H31-K18[un];K23[un]","H31-K27[hib];K36[un];K37[un]","H31-K27[me];K36[me2];K37[un]","H31-K27[me2];K36[me];K37[un]","H31-K27[me2];K36[un];K37[un]","H31-K27[me3];K36[un];K37[un]","H31-K27[un];K36[me2];K37[un]","H31-K27[un];K36[un];K37[un]","H31-K4[me]","H31-K4[un]","H31-K79[me]","H31-K79[un]","H31-K9[ac];K14[ac]","H31-K9[me];K14[ac]","H31-K9[me];K14[un]","H31-K9[me2];K14[ac]","H31-K9[me2];K14[un]","H31-K9[me3];K14[ac]","H31-K9[me3];K14[un]","H31-K9[un];K14[ac]","H31-K9[un];K14[ub]","H31-K9[un];K14[un]","H4-K5[ac];K8[ac];K12[ac];K16[ac]","H4-K5[ac];K8[ac];K12[ac];K16[un]","H4-K5[ac];K8[ac];K12[un];K16[ac]","H4-K5[ac];K8[ac];K12[un];K16[un]","H4-K5[ac];K8[un];K12[ac];K16[ac]","H4-K5[ac];K8[un];K12[ac];K16[un]","H4-K5[ac];K8[un];K12[un];K16[ac]","H4-K5[ac];K8[un];K12[un];K16[un]","H4-K5[un];K8[ac];K12[ac];K16[ac]","H4-K5[un];K8[ac];K12[ac];K16[un]","H4-K5[un];K8[ac];K12[un];K16[ac]","H4-K5[un];K8[ac];K12[un];K16[un]","H4-K5[un];K8[un];K12[ac];K16[ac]","H4-K5[un];K8[un];K12[ac];K16[un]","H4-K5[un];K8[un];K12[un];K16[ac]","H4-K5[un];K8[un];K12[un];K16[un]"
"H1-K25[me];K31[un]",0,2.75216727365054e-19,0.545270748849142,0.760102424550479,0.697946376790753,0.691617030398107,0.0298630701540845,0.0165116957951268,0.523019439093782,0.698753506215677,0.519878212437472,0.515088465696123,0.530433060241019,0.535221168144188,0.452528597575105,0.298287484001337,0.845168738448802,0.82062736948585,0.949854003645224,0.199361302456501,0.203315154149618,0.0273427783651632,0.526302429257788,0.644431187656318,0.816148392323321,0.258840280333714,0.263132905886414,0.508779315593395,0.655454871007968,0.396508749769568,0.780257596366542,0.907289768127816,0.389507058930086,0.868863099170207,0.114059367209148,0.772005579487003,0.86173914264435,0.967588350005757,0.919987484107145,0.301023317490373,0.719840973390482,0.853869564464322,0.756138283802853,0.409574246389737,0.273508361018341,0.558083854486847,0.570107857347518,0.0600194906140572,0.887468160024795,0.011203680680197,0.994482857781204,0.0104912794159237,0.333360098133592,0.185544332126868,0.0175365246872134
"H1-K25[un];K31[un]",2.75216727365054e-19,0,0.635142975572565,0.835510558759721,0.766913950128515,0.759092311636604,0.0260075141905324,0.0124787972555701,0.568975628453494,0.722418967993793,0.515246539379477,0.566392778220697,0.525349194971566,0.520179470055446,0.565823039440791,0.298500297003752,0.694456552955431,0.926368259129569,0.82781188693924,0.257368838122074,0.241718631744859,0.0175662354242207,0.597789194718569,0.677060701008114,0.668019073109241,0.290378153603203,0.294778597822192,0.503812153473495,0.636229697185559,0.436105352808719,0.710193689768922,0.919496221617293,0.337472113349215,0.835335910727729,0.104474524895394,0.75949355319928,0.842878294813846,0.975108527121899,0.944365094806122,0.267497467695232,0.820399816083132,0.780853992084292,0.608553791849993,0.426465330164336,0.368315491206817,0.444842064228692,0.5448306105396,0.0595265971702804,0.836315080998954,0.0131089763579345,0.78708287502707,0.0115983753919712,0.427617215565224,0.125613563545237,0.0149846656647033
"H1.5-K33[ac];K45[un];K51[un]",0.545270748849142,0.635142975572565,0,1.7197669163911e-13,0.66264406170683,0.662761385902722,0.989954173460762,0.978562212378265,0.394630856971892,0.469815757434607,0.346339984093966,0.488935936832745,0.37055517248098,0.919662680553267,0.14304554646137,0.208145070159634,0.746541495982456,0.106400777205255,0.958619705701368,0.564341144173793,0.142070439349418,0.793355395818343,0.0844601838708253,0.831664031025483,0.23330597149167,0.746895373972354,0.769323881431513,0.299453636542751,0.310769255276569,0.738096211287269,0.13241738744312,0.574475811155497,0.403516587572922,0.0207213744224689,0.696904098725851,0.817072499858809,0.0162235179635512,0.923543247097645,0.050582194499852,0.421582867521342,0.611234530887676,0.525397357947171,0.761052691091102,0.970653469759425,0.699295921456942,0.0297693979332786,0.233790696115924,0.274450067066601,0.770554189079391,0.0274531339137113,0.8249819491328,0.119918650515146,0.1836185762701,0.0247328135511989,0.0338736508656037
"H1.5-K33[un];K45[un];K51[un]",0.760102424550479,0.835510558759721,1.7197669163911e-13,0,0.576796637267432,0.574609051801622,0.989929390234711,0.971312469718968,0.546614927125777,0.524302758081348,0.478396635920768,0.703155995439207,0.503891579684848,0.812978159076914,0.184915991873443,0.306827873354409,0.553384097287849,0.158734267319673,0.85948015253042,0.370646594023429,0.132618920862603,0.919647518717186,0.115614215278545,0.743831643282957,0.340594994466504,0.815610332980868,0.835308505752727,0.306378404099462,0.322324069238183,0.721031760417057,0.115252299853522,0.32871441126048,0.507643157812242,0.0487549410231065,0.900627554422593,0.617730540381023,0.0277533830887676,0.979312763201036,0.0810230490081612,0.582177171409666,0.466202021653658,0.234439714461274,0.754387660305677,0.752040813819615,0.955053131393399,0.00828108115489294,0.219810297075404,0.176596859710569,0.67789013325857,0.0106084431766529,0.914723658948594,0.0684127060028404,0.0928053631859825,0.00765967945602982,0.0142790904206951
"H2A1A-K5[ac];K9[un]",0.697946376790753,0.766913950128515,0.66264406170683,0.576796637267432,0,2.01164077681349e-38,0.220206024160038,0.258495746920113,0.925412513248318,0.415690470108032,0.748069086355877,0.62386449534634,0.756619551633805,0.562514103098599,0.64898495319993,0.358832877171312,0.000245043920343621,0.356760063354553,0.683043785106158,0.261176718448671,0.756452738462191,0.404872226008368,0.763499800611411,0.945942848187921,0.658558769044779,0.221295447146363,0.220655502960899,0.488429129640857,0.623558251195213,0.444209241828361,0.986883668012163,0.0495042292702646,0.163056531759484,0.206235344965947,0.774428117351275,0.748042024476372,0.340115335292659,0.302872858469234,0.919155032054954,0.6393491345211,0.0521128535117363,0.368011387970359,0.947402054786278,0.739395241690543,0.050740646706045,0.502223483473569,0.530650190708211,0.960457936225594,0.559727515471396,0.615273652915378,0.723964325050377,0.854789898048152,0.217506400185456,0.82511278180731,0.539725954136958
"H2A1A-K5[un];K9[un]",0.691617030398107,0.759092311636604,0.662761385902722,0.574609051801622,2.01164077681349e-38,0,0.220063489192327,0.258912113416899,0.950199132456699,0.430347776633435,0.734789256608829,0.604260090606513,0.743145234040369,0.558497151648967,0.628740555449493,0.348312614084894,0.000257247160914354,0.34135883923486,0.696130724803916,0.266156250828016,0.75292868964177,0.390836363142132,0.761302886486122,0.935139716276317,0.672129346895705,0.21879481989387,0.218234637653789,0.47954343408109,0.612488543261382,0.449953581672724,0.984103210358726,0.0484824858684553,0.162348126013873,0.204879042500356,0.765159549166724,0.734611143311664,0.336265290027152,0.310482007076414,0.931557525306927,0.649402708054872,0.0530024081212813,0.38032189885094,0.957409598734224,0.743368296381695,0.0492909501119523,0.499481574686136,0.52502949915611,0.959230568520143,0.573452188872484,0.599510604885923,0.709391967789949,0.870242097354208,0.210978109901992,0.831531852908474,0.529177392916291
"H2A1B-K13[un];K15[ac]",0.0298630701540845,0.0260075141905324,0.989954173460762,0.989929390234711,0.220206024160038,0.220063489192327,0,4.97600764460026e-21,0.292410034106421,0.0472080176708649,0.131838702770242,0.918485151468606,0.127451397866338,0.14534824608628,0.682360505870313,0.000432147738907392,0.140024425013044,0.132154761724573,0.0368411547932406,0.6384776727391,0.925686220901836,0.94964135158983,0.851226861896999,0.71720269635944,0.407010832469025,0.492569530072048,0.538673685162628,0.951729178431536,0.89137168914969,0.13646031257284,0.261276797878128,0.226442120220337,0.771448243313037,0.0854367760707471,0.469422632123697,0.390618340690398,0.315201678001588,0.161124798699999,0.550538687018262,0.0954571549051051,0.113300320220112,0.219440556750535,0.587223096345757,0.0939488371273086,0.535972837824357,0.578601945358884,0.142056305700042,0.0292996660558358,0.0220041225891946,0.167523143202455,0.645693237944629,0.11449013499232,0.0807783335627375,0.9543619282554,0.203967981952919
"H2A1B-K13[un];K15[un]",0.0165116957951268,0.0124787972555701,0.978562212378265,0.971312469718968,0.258495746920113,0.258912113416899,4.97600764460026e-21,0,0.302987212277359,0.0547369323733079,0.149948080447933,0.91077664664626,0.145250492371616,0.140971987502565,0.62413544832825,0.000539534690369551,0.127655621865057,0.117741718987069,0.03377763075593,0.617892404557378,0.894977440537664,0.841360621631136,0.79090845330426,0.703122222290263,0.499633913342829,0.575417537126643,0.622369185558353,0.95179853091705,0.895379745876248,0.166870491605133,0.274108476157543,0.244988025267487,0.826786138997823,0.10630451560617,0.388879281842173,0.326342980275022,0.337042537073048,0.205790473751148,0.580355345384894,0.0922984023378668,0.116574642704658,0.232693663639525,0.536975376086657,0.101556311848214,0.595212881425401,0.503991719472148,0.12994679163071,0.0289888628680046,0.0381678204111838,0.138406476929068,0.56750760556561,0.0924491521269331,0.123776757944108,0.846241038110292,0.15196695088455
"H2AJ-K5[ac];K9[ac]",0.523019439093782,0.568975628453494,0.394630856971892,0.546614927125777,0.925412513248318,0.950199132456699,0.292410034106421,0.302987212277359,0,1.60980711061796e-05,0.585369447731658,5.60104296226603e-08,0.576988800598756,0.48896133854031,0.0483720455205247,0.631528063489262,0.566694613443147,0.0884092028303684,0.311230785198723,0.606540401426582,0.327346651317637,0.482163468985303,0.0766535908751558,0.346082612446824,0.0343090823031057,0.447279710738881,0.465431893598701,0.0885828768266796,0.0509783567085973,0.00185606656986177,0.232240790739605,0.989454680269181,0.406407763644788,0.356297549654057,0.234706416173249,0.59425375098822,0.0124278660542261,0.0214927183627573,0.0171524175754988,0.0728093302017162,0.300077894520603,0.0840108830437022,0.196167504932085,0.0367287392610392,0.50351199015267,0.953987220993212,0.41872145672635,0.758075015412693,0.0126508861530437,0.659291308591904,0.577132784128713,0.75401700777477,0.172829305744723,0.915174729530402,0.91672319949236
"H2AJ-K5[ac];K9[hib]",0.698753506215677,0.722418967993793,0.469815757434607,0.524302758081348,0.415690470108032,0.430347776633435,0.0472080176708649,0.0547369323733079,1.60980711061796e-05,0,0.310924590313987,0.0656115370248016,0.308760544025936,0.015178121361722,0.207864928755353,0.318446349117279,0.615831981882326,0.43825387683973,0.176227598270135,0.944871389190383,0.200637686894126,0.809297192608459,0.380536984683487,0.879151128122005,0.859648043009346,0.524107528440983,0.562561809018769,0.359040272134418,0.202634848359127,0.00547578877282314,0.983965622377558,0.718109657222808,0.698491358182708,0.307581686150755,0.804680421300544,0.849129861643362,0.807126489614107,0.0245972948844156,0.775698665192949,0.00504868106321263,0.112851570349494,0.146278905350844,0.466347381701198,0.00287074846411116,0.872167798864885,0.418994161786397,0.759396611823457,0.48207165286992,0.00110529284813075,0.884343963873522,0.5036676353358,0.915636386437152,0.568000995834508,0.691690162305035,0.721587157637432
